Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
3,100.0,0.05,4.0,3.0,0.0,0.57628,0.43733,6293.60004,9912.86717,0.36511,4200.0,4336.0,880.86355,4200.28221,5699.24243,5170.26905
4,100.0,0.05,5.0,3.0,0.0,0.49339,0.43733,6293.60004,10205.54484,0.38332,4200.0,4335.0,842.28583,5170.2564,5699.24243,5170.26905
5,100.0,0.05,6.0,4.0,0.0,0.59364,0.43733,6293.60004,10336.26027,0.39111,4200.0,4339.0,0.0,4200.28221,5699.24243,5170.26905
0,100.0,0.05,1.0,2.0,0.0,0.61675,0.43722,6204.32836,9546.93968,0.35012,4201.0,3086.0,848.26183,3658.84171,5415.27274,5029.8848
1,100.0,0.05,2.0,2.0,0.0,0.51111,0.43722,6204.32836,10288.28356,0.39695,4201.0,3084.0,796.06183,5029.8774,5415.27274,5029.8848
2,100.0,0.05,3.0,2.0,0.0,0.62397,0.43722,6204.32836,9730.25533,0.36237,4201.0,3086.0,887.31183,3658.84171,5415.27274,5029.8848
3,100.0,0.05,4.0,2.0,0.0,0.62397,0.43722,6204.32836,9730.25533,0.36237,4201.0,3087.0,887.5263,3658.84171,5415.27274,5029.8848
4,100.0,0.05,5.0,2.0,0.0,0.53277,0.43722,6204.32836,10765.25533,0.42367,4201.0,3092.0,946.06183,5029.8774,5415.27274,5029.8848
5,100.0,0.05,6.0,2.0,0.0,0.63937,0.43722,6204.32836,10145.68927,0.38848,4201.0,3086.0,0.0,3658.84171,5415.27274,5029.8848
0,100.0,0.05,1.0,3.0,0.0,0.5895,0.44188,6332.34096,9846.23327,0.35688,4201.0,4284.0,839.43866,4041.90221,6038.86082,5344.06391
1,100.0,0.05,2.0,4.0,0.0,0.49278,0.44188,6332.34096,10535.84916,0.39897,4201.0,4370.0,790.13866,5344.0354,6038.86082,5344.06391
2,100.0,0.05,3.0,3.0,0.0,0.59748,0.44188,6332.34096,10041.48327,0.36938,4201.0,4285.0,878.38866,4041.90221,6038.86082,5344.06391
3,100.0,0.05,4.0,3.0,0.0,0.5973,0.44188,6332.34096,10037.05769,0.3691,4201.0,4285.0,878.71638,4041.90221,6038.86082,5344.06391
4,100.0,0.05,5.0,3.0,0.0,0.48293,0.44188,6332.34096,10335.23327,0.38731,4201.0,4285.0,840.13866,5344.0354,6038.86082,5344.06391
5,100.0,0.05,6.0,4.0,0.0,0.61483,0.44188,6332.34096,10493.84755,0.39657,4201.0,4286.0,0.0,4041.90221,6038.86082,5344.06391
0,100.0,0.05,1.0,3.0,0.0,0.60571,0.43436,6405.29805,10000.19213,0.35948,4201.0,4331.0,840.1448,3942.96371,5706.96923,5115.57087
1,100.0,0.05,2.0,4.0,0.0,0.52364,0.43436,6405.29805,10738.86075,0.40354,4201.0,4468.0,790.8448,5115.5459,5706.96923,5115.57087
2,100.0,0.05,3.0,3.0,0.0,0.61334,0.43436,6405.29805,10197.42954,0.37187,4201.0,4331.0,879.0948,3942.96371,5706.96923,5115.57087
3,100.0,0.05,4.0,3.0,0.0,0.61349,0.43436,6405.29805,10201.43057,0.37212,4201.0,4332.0,879.42251,3942.96371,5706.96923,5115.57087
4,100.0,0.05,5.0,3.0,0.0,0.51229,0.43436,6405.29805,10488.86075,0.38932,4201.0,4334.0,840.8448,5115.5459,5706.96923,5115.57087
5,100.0,0.05,6.0,4.0,0.0,0.62981,0.43436,6405.29805,10651.31769,0.39864,4201.0,4334.0,0.0,3942.96371,5706.96923,5115.57087
0,100.0,0.05,1.0,2.0,0.0,0.58228,0.42058,6541.97553,9842.31604,0.33532,4203.0,2667.0,846.74553,4111.30371,5610.77231,5355.89328
