Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
2,1500.0,0.05,3.0,2.0,0.0,0.46405,0.83251,2228.53729,10498.30805,0.46405,4204.0,4208.0,1421.68219,5626.56897,5626.55621,5310.54787
3,1500.0,0.05,4.0,2.0,0.0,0.46405,0.83251,2228.53729,10498.30805,0.46405,4204.0,4210.0,1424.89918,5626.56897,5626.55621,5310.54787
4,1500.0,0.05,5.0,2.0,0.0,0.44828,0.83251,2228.53729,10198.30805,0.44828,4204.0,4207.0,53.24798,5626.56897,5626.55621,5310.54787
5,1500.0,0.05,6.0,2.0,0.0,0.29412,0.83251,2228.53729,7970.98818,0.29412,4204.0,4209.0,0.0,5626.56897,5626.55621,5310.54787
0,1500.0,0.05,1.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4210.0,835.98291,5641.21043,5640.55293,5157.3382
1,1500.0,0.05,2.0,2.0,0.0,0.45354,0.76344,3118.26916,10323.26231,0.45354,4204.0,4208.0,53.26361,5641.21043,5640.55293,5157.3382
2,1500.0,0.05,3.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4209.0,1421.73291,5641.21043,5640.55293,5157.3382
3,1500.0,0.05,4.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4212.0,1424.9499,5641.21043,5640.55293,5157.3382
4,1500.0,0.05,5.0,2.0,0.0,0.4482,0.76344,3118.26916,10223.26231,0.4482,4204.0,4212.0,53.2987,5641.21043,5640.55293,5157.3382
5,1500.0,0.05,6.0,2.0,0.0,0.26996,0.76344,3118.26916,7727.24891,0.26996,4204.0,4211.0,4.20722,5641.21043,5640.55293,5157.3382
0,1500.0,0.05,1.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4218.0,835.91064,5585.0197,5585.02528,5124.4301
1,1500.0,0.05,2.0,2.0,0.0,0.46256,0.76089,3141.25341,10391.93531,0.46256,4204.0,4208.0,53.19134,5585.0197,5585.02528,5124.4301
2,1500.0,0.05,3.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4208.0,1421.66064,5585.0197,5585.02528,5124.4301
3,1500.0,0.05,4.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4208.0,1424.87763,5585.0197,5585.02528,5124.4301
4,1500.0,0.05,5.0,2.0,0.0,0.45734,0.76089,3141.25341,10291.93531,0.45734,4204.0,4214.0,53.22643,5585.0197,5585.02528,5124.4301
5,1500.0,0.05,6.0,2.0,0.0,0.28018,0.76089,3141.25341,7758.94319,0.28018,4204.0,4208.0,1.9666,5585.0197,5585.02528,5124.4301
0,1500.0,0.05,1.0,2.0,0.0,0.46816,0.74355,3384.2923,10589.30425,0.46816,4204.0,4222.0,835.98006,5631.7697,5632.42814,5266.64457
1,1500.0,0.05,2.0,2.0,0.0,0.45793,0.74355,3384.2923,10389.30425,0.45793,4204.0,4207.0,53.26077,5631.7697,5632.42814,5266.64457
2,1500.0,0.05,3.0,2.0,0.0,0.46816,0.74355,3384.2923,10589.30425,0.46816,4204.0,4210.0,1421.73006,5631.7697,5632.42814,5266.64457
3,1500.0,0.05,4.0,2.0,0.0,0.46816,0.74355,3384.2923,10589.30425,0.46816,4204.0,4226.0,1424.94706,5631.7697,5632.42814,5266.64457
4,1500.0,0.05,5.0,2.0,0.0,0.45266,0.74355,3384.2923,10289.30425,0.45266,4204.0,4208.0,53.29585,5631.7697,5632.42814,5266.64457
5,1500.0,0.05,6.0,2.0,0.0,0.3061,0.74355,3384.2923,8116.13342,0.3061,4204.0,4211.0,0.0,5631.7697,5632.42814,5266.64457
0,1500.0,0.05,1.0,2.0,0.0,0.4682,0.78964,2757.72757,10412.12077,0.4682,4203.0,4208.0,835.99087,5537.1232,5536.45822,5136.17437
1,1500.0,0.05,2.0,2.0,0.0,0.45779,0.78964,2757.72757,10212.12077,0.45779,4203.0,4207.0,53.27157,5537.1232,5536.45822,5136.17437
2,1500.0,0.05,3.0,2.0,0.0,0.4682,0.78964,2757.72757,10412.12077,0.4682,4203.0,4206.0,1421.74087,5537.1232,5536.45822,5136.17437
3,1500.0,0.05,4.0,2.0,0.0,0.4682,0.78964,2757.72757,10412.12077,0.4682,4203.0,4208.0,1424.95786,5537.1232,5536.45822,5136.17437
4,1500.0,0.05,5.0,2.0,0.0,0.45243,0.78964,2757.72757,10112.12077,0.45243,4203.0,4208.0,53.30666,5537.1232,5536.45822,5136.17437
5,1500.0,0.05,6.0,2.0,0.0,0.23688,0.78964,2757.72757,7255.91714,0.23688,4203.0,4209.0,13.99846,5537.1232,5536.45822,5136.17437
0,1500.0,0.05,1.0,2.0,0.0,0.46776,0.86102,1822.22089,10285.40067,0.46776,4204.0,4214.0,836.04082,5474.26373,5474.93325,5078.63112
1,1500.0,0.05,2.0,2.0,0.0,0.45721,0.86102,1822.22089,10085.40067,0.45721,4204.0,4210.0,53.32152,5474.26373,5474.93325,5078.63112
2,1500.0,0.05,3.0,2.0,0.0,0.46776,0.86102,1822.22089,10285.40067,0.46776,4204.0,4210.0,1421.79082,5474.26373,5474.93325,5078.63112
3,1500.0,0.05,4.0,2.0,0.0,0.46776,0.86102,1822.22089,10285.40067,0.46776,4204.0,4220.0,1425.00781,5474.26373,5474.93325,5078.63112
4,1500.0,0.05,5.0,2.0,0.0,0.45177,0.86102,1822.22089,9985.40067,0.45177,4204.0,4209.0,53.35661,5474.26373,5474.93325,5078.63112
5,1500.0,0.05,6.0,2.0,0.0,0.29574,0.86102,1822.22089,7773.0379,0.29574,4204.0,4208.0,0.0,5474.26373,5474.93325,5078.63112
0,1500.0,0.05,1.0,2.0,0.0,0.47237,0.75115,3264.6306,10512.62373,0.47237,4204.0,4211.0,835.92476,5546.7853,5546.97617,5115.91369
1,1500.0,0.05,2.0,2.0,0.0,0.46214,0.75115,3264.6306,10312.62373,0.46214,4204.0,4205.0,53.20547,5546.7853,5546.97617,5115.91369
2,1500.0,0.05,3.0,2.0,0.0,0.47237,0.75115,3264.6306,10512.62373,0.47237,4204.0,4206.0,1421.67476,5546.7853,5546.97617,5115.91369
3,1500.0,0.05,4.0,2.0,0.0,0.47237,0.75115,3264.6306,10512.62373,0.47237,4204.0,4216.0,1424.89176,5546.7853,5546.97617,5115.91369
4,1500.0,0.05,5.0,2.0,0.0,0.45687,0.75115,3264.6306,10212.62373,0.45687,4204.0,4205.0,53.24055,5546.7853,5546.97617,5115.91369
5,1500.0,0.05,6.0,2.0,0.0,0.30193,0.75115,3264.6306,7945.93736,0.30193,4204.0,4207.0,0.0,5546.7853,5546.97617,5115.91369
0,1500.0,0.05,1.0,2.0,0.0,0.47653,0.74033,3416.6918,10585.39549,0.47653,4204.0,4212.0,835.90459,5541.17637,5541.83534,5127.68678
1,1500.0,0.05,2.0,2.0,0.0,0.46645,0.74033,3416.6918,10385.39549,0.46645,4204.0,4214.0,53.18529,5541.17637,5541.83534,5127.68678
2,1500.0,0.05,3.0,2.0,0.0,0.47653,0.74033,3416.6918,10585.39549,0.47653,4204.0,4207.0,1421.65459,5541.17637,5541.83534,5127.68678
3,1500.0,0.05,4.0,2.0,0.0,0.47653,0.74033,3416.6918,10585.39549,0.47653,4204.0,4214.0,1424.87158,5541.17637,5541.83534,5127.68678
