 ,value
scen475,0.013889
scen476,0.013889
scen477,0.013889
scen478,0.013889
scen479,0.013889
scen480,0.013889
scen481,0.013889
scen482,0.013889
scen483,0.013889
scen484,0.013889
scen485,0.013889
scen486,0.013889
scen487,0.013889
scen488,0.013889
scen489,0.013889
scen490,0.013889
scen491,0.013889
scen492,0.013889
scen493,0.013889
scen494,0.013889
scen495,0.013889
scen496,0.013889
scen497,0.013889
scen498,0.013889
scen499,0.013889
scen500,0.013889
scen501,0.013889
scen502,0.013889
scen503,0.013889
scen504,0.013889
scen505,0.013889
scen506,0.013889
scen507,0.013889
scen508,0.013889
scen509,0.013889
scen510,0.013889
scen511,0.013889
scen512,0.013889
scen513,0.013889
scen514,0.013889
scen515,0.013889
scen516,0.013889
scen517,0.013889
scen518,0.013889
scen519,0.013889
scen520,0.013889
scen521,0.013889
scen522,0.013889
scen523,0.013889
scen524,0.013889
scen525,0.013889
scen526,0.013889
scen527,0.013889
scen528,0.013889
scen529,0.013889
scen530,0.013889
scen531,0.013889
scen532,0.013889
scen533,0.013889
scen534,0.013889
scen535,0.013889
scen536,0.013889
scen537,0.013889
scen538,0.013889
scen539,0.013889
scen540,0.013889
scen541,0.0125
scen542,0.0125
scen543,0.0125
scen544,0.0125
scen545,0.0125
scen546,0.0125
scen547,0.0125
scen548,0.0125
scen549,0.0125
scen550,0.0125
scen551,0.0125
scen552,0.0125
scen553,0.0125
scen554,0.0125
scen555,0.0125
scen556,0.0125
scen557,0.0125
scen558,0.0125
scen559,0.0125
scen560,0.0125
scen561,0.0125
scen562,0.0125
scen563,0.0125
scen564,0.0125
scen565,0.0125
scen566,0.0125
scen567,0.0125
scen568,0.0125
scen569,0.0125
scen570,0.0125
scen571,0.0125
scen572,0.0125
scen573,0.0125
scen574,0.0125
scen575,0.0125
scen576,0.0125
scen577,0.0125
scen578,0.0125
scen579,0.0125
scen580,0.0125
scen581,0.0125
scen582,0.0125
scen583,0.0125
scen584,0.0125
scen585,0.0125
scen586,0.0125
scen587,0.0125
scen588,0.0125
scen589,0.0125
scen590,0.0125
scen591,0.0125
scen592,0.0125
scen593,0.0125
scen594,0.0125
scen595,0.0125
scen596,0.0125
scen597,0.0125
scen598,0.0125
scen599,0.0125
scen600,0.0125
scen601,0.0125
scen602,0.0125
scen603,0.0125
scen604,0.0125
scen605,0.0125
scen606,0.0125
scen607,0.0125
scen608,0.0125
scen609,0.0125
scen610,0.0125
scen611,0.0125
scen612,0.0125
scen613,0.0125
scen614,0.0125
scen615,0.0125
scen616,0.0125
scen617,0.0125
scen618,0.0125
scen619,0.0125
scen620,0.0125
scen621,0.011364
scen622,0.011364
scen623,0.011364
scen624,0.011364
scen625,0.011364
scen626,0.011364
scen627,0.011364
scen628,0.011364
scen629,0.011364
scen630,0.011364
scen631,0.011364
scen632,0.011364
scen633,0.011364
scen634,0.011364
scen635,0.011364
scen636,0.011364
scen637,0.011364
scen638,0.011364
scen639,0.011364
scen640,0.011364
scen641,0.011364
scen642,0.011364
scen643,0.011364
scen644,0.011364
scen645,0.011364
scen646,0.011364
scen647,0.011364
scen648,0.011364
scen649,0.011364
scen650,0.011364
scen651,0.011364
scen652,0.011364
scen653,0.011364
scen654,0.011364
