 ,value
scen545,0.002
scen546,0.0016
scen547,0.0018
scen548,0.0012
scen549,0.0022
scen550,0.0026
scen551,0.001
scen552,0.001
scen553,0.0016
scen554,0.003
scen555,0.001
scen556,0.0022
scen557,0.0024
scen558,0.001
scen559,0.0016
scen560,0.0018
scen561,0.0018
scen562,0.002
scen563,0.0018
scen564,0.002
scen565,0.0012
scen566,0.0016
scen567,0.0014
scen568,0.0012
scen569,0.0018
scen570,0.0012
scen571,0.0024
scen572,0.003
scen573,0.002
scen574,0.0014
scen575,0.001
scen576,0.0016
scen577,0.0012
scen578,0.0012
scen579,0.0012
scen580,0.002
scen581,0.0014
scen582,0.0018
scen583,0.003
scen584,0.0008
scen585,0.0016
scen586,0.001
scen587,0.0012
scen588,0.0018
scen589,0.0002
scen590,0.0014
scen591,0.0012
scen592,0.0008
scen593,0.0012
scen594,0.0014
scen595,0.0014
scen596,0.0016
scen597,0.0014
scen598,0.001
scen599,0.002
scen600,0.0022
scen601,0.0008
scen602,0.0008
scen603,0.0014
scen604,0.0014
scen605,0.002
scen606,0.0018
scen607,0.0012
scen608,0.0012
scen609,0.001
scen610,0.001
scen611,0.0008
scen612,0.0022
scen613,0.0012
scen614,0.0008
scen615,0.0014
scen616,0.0006
scen617,0.0012
scen618,0.0006
scen619,0.0008
scen620,0.0004
scen621,0.0016
scen622,0.0022
scen623,0.0018
scen624,0.0012
scen625,0.0018
scen626,0.001
scen627,0.001
scen628,0.0022
scen629,0.001
scen630,0.0018
scen631,0.002
scen632,0.0012
scen633,0.0016
scen634,0.003
scen635,0.0024
scen636,0.003
scen637,0.0024
scen638,0.0012
scen639,0.0016
scen640,0.002
scen641,0.003
scen642,0.0016
scen643,0.0018
scen644,0.002
scen645,0.0012
scen646,0.0016
scen647,0.0014
scen648,0.0012
scen649,0.0018
scen650,0.0012
scen651,0.0014
scen652,0.0014
scen653,0.002
scen654,0.0014
scen655,0.001
scen656,0.0016
scen657,0.0014
scen658,0.0012
scen659,0.0012
scen660,0.0012
