Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Heuristic Time
1500.0,0.01,4.0,10.0,0.0,0.09254,0.09329,243.06316,267.90966,249.47615,0.09254,4212.0,5495.0,1000.3452,243.11659,0.0,1.0,0.47326,12.0,,
1500.0,0.01,5.0,10.0,0.0,0.09254,0.09329,243.06316,267.90966,249.47615,0.09254,4212.0,6332.0,0.0,243.11659,0.0,1.0,0.47326,12.0,,
1500.0,0.01,6.0,6.0,0.0,0.08289,0.09329,243.06316,265.08868,261.68893,0.08289,4212.0,50699.0,0.59572,243.11659,0.0,6.0,1.32812,15.0,,
1500.0,0.01,1.0,10.0,0.0,0.13772,0.12669,233.42296,266.88836,246.03143,0.12539,4213.0,5466.0,791.7,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,2.0,10.0,0.0,0.13772,0.12669,233.42296,266.88836,246.03143,0.12539,4213.0,6581.0,200.0,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,3.0,10.0,0.0,0.13772,0.12669,233.42296,266.88836,246.03143,0.12539,4213.0,5455.0,1067.85552,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,4.0,10.0,0.0,0.13772,0.12669,233.42296,266.88836,246.03143,0.12539,4213.0,5461.0,1000.3452,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,5.0,10.0,0.0,0.13889,0.12669,233.42296,267.25269,246.03143,0.12658,4213.0,6578.0,0.0,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,6.0,8.0,0.0,0.13772,0.12669,233.42296,266.88836,246.03143,0.12539,4213.0,45509.0,0.15534,230.13308,0.0,1.0,0.50694,6.0,,
1500.0,0.01,1.0,10.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,5448.0,791.7,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,2.0,10.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,6653.0,200.0,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,3.0,10.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,5480.0,1067.85552,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,4.0,10.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,5472.0,1000.3452,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,5.0,10.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,6393.0,0.0,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,6.0,7.0,0.0,0.1105,0.13659,229.86961,266.20785,249.3484,0.1105,4212.0,52527.0,0.15394,236.79056,0.0,1.0,0.50977,7.0,,
1500.0,0.01,1.0,10.0,0.0,0.09903,0.1136,234.60347,264.25183,248.34222,0.09903,4212.0,5449.0,791.7,238.08192,0.0,1.0,0.54759,7.0,,
1500.0,0.01,2.0,10.0,0.0,0.09903,0.1136,234.60347,264.25183,248.34222,0.09903,4212.0,6548.0,200.0,238.08192,0.0,1.0,0.54759,7.0,,
1500.0,0.01,3.0,10.0,0.0,0.09903,0.1136,234.60347,264.25183,248.34222,0.09903,4212.0,5448.0,1067.85552,238.08192,0.0,1.0,0.54759,7.0,,
1500.0,0.01,4.0,10.0,0.0,0.09903,0.1136,234.60347,264.25183,248.34222,0.09903,4212.0,5444.0,1000.3452,238.08192,0.0,1.0,0.54759,7.0,,
1500.0,0.01,5.0,10.0,0.0,0.09903,0.1136,234.60347,264.25183,248.34222,0.09903,4212.0,6368.0,0.0,238.08192,0.0,1.0,0.54759,7.0,,
1500.0,0.01,6.0,6.0,0.0,0.07636,0.1136,234.60347,257.76517,253.74153,0.07636,4212.0,50674.0,0.08877,238.08192,0.0,6.0,0.98346,11.0,,
1500.0,0.01,1.0,1.0,1.0,0.11395,0.10951,236.35611,265.25096,247.84476,0.10893,4212.0,5010.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,2.0,1.0,1.0,0.11398,0.10951,236.35611,265.25828,247.84476,0.10896,4212.0,5009.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,3.0,1.0,1.0,0.11398,0.10951,236.35611,265.25828,247.84476,0.10896,4212.0,5010.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,4.0,1.0,1.0,0.11391,0.10951,236.35611,265.23748,247.84476,0.10889,4212.0,5009.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,5.0,1.0,1.0,0.11398,0.10951,236.35611,265.25828,247.84476,0.10896,4212.0,5009.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,6.0,1.0,1.0,0.1139,0.10951,236.35611,265.23478,247.84476,0.10888,4212.0,5009.0,0.52559,235.02433,1.0,1.0,0.52559,0.0,,
1500.0,0.01,1.0,10.0,0.0,0.1067,0.10831,236.78366,264.46336,246.87469,0.10466,4212.0,5422.0,791.7,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,2.0,10.0,0.0,0.10666,0.10831,236.78366,264.45233,246.87469,0.10463,4212.0,6374.0,200.0,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,3.0,10.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,5421.0,1067.85552,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,4.0,10.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,5410.0,1000.3452,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,5.0,10.0,0.0,0.10665,0.10831,236.78366,264.44966,246.87469,0.10462,4212.0,6249.0,0.0,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,6.0,8.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,51401.0,0.15588,236.24575,0.0,1.0,0.53809,3.0,,
1500.0,0.01,1.0,10.0,0.0,0.11838,0.11579,236.11117,266.79806,246.65651,0.11502,4211.0,5409.0,791.7,235.21448,0.0,1.0,0.53452,11.0,,
1500.0,0.01,2.0,10.0,0.0,0.11842,0.11579,236.11117,266.80914,246.65651,0.11506,4211.0,6170.0,200.0,235.21448,0.0,1.0,0.53452,11.0,,
1500.0,0.01,3.0,10.0,0.0,0.11842,0.11579,236.11117,266.80914,246.65651,0.11506,4211.0,5398.0,1067.85552,235.21448,0.0,1.0,0.53452,11.0,,
1500.0,0.01,4.0,10.0,0.0,0.11838,0.11579,236.11117,266.79806,246.65651,0.11502,4211.0,5402.0,1000.3452,235.21448,0.0,1.0,0.53452,11.0,,
1500.0,0.01,5.0,10.0,0.0,0.11838,0.11579,236.11117,266.79806,246.65651,0.11502,4211.0,6353.0,0.0,235.21448,0.0,1.0,0.53452,11.0,,
