Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time
1500.0,0.03,1.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2475.0,843.9,246.625,
1500.0,0.03,2.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2482.0,0.13746,246.625,
1500.0,0.03,3.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2474.0,1091.25,246.625,
1500.0,0.03,4.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2485.0,1028.84037,246.625,
1500.0,0.03,5.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2473.0,0.10309,246.625,
1500.0,0.03,6.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2472.0,0.37622,246.625,48.0
1500.0,0.03,1.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2498.0,843.9,230.35052,
1500.0,0.03,2.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2488.0,0.13746,230.35052,
1500.0,0.03,3.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2494.0,1091.25,230.35052,
1500.0,0.03,4.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2489.0,1028.84037,230.35052,
1500.0,0.03,5.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2493.0,0.10309,230.35052,
1500.0,0.03,6.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2490.0,0.39845,230.35052,58.0
1500.0,0.03,1.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2443.0,843.9,243.61424,
1500.0,0.03,2.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2444.0,0.13746,243.61424,
1500.0,0.03,3.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2444.0,1091.25,243.61424,
1500.0,0.03,4.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2450.0,1028.84037,243.61424,
1500.0,0.03,5.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2441.0,0.10309,243.61424,
1500.0,0.03,6.0,2.0,0.0,0.04244,0.1794,229.48878,254.41197,0.04244,4211.0,2440.0,0.37955,243.61424,66.0
1500.0,0.03,1.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2438.0,843.9,238.2664,
1500.0,0.03,2.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2440.0,0.13746,238.2664,
1500.0,0.03,3.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2443.0,1091.25,238.2664,
1500.0,0.03,4.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2442.0,1028.84037,238.2664,
1500.0,0.03,5.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2443.0,0.10309,238.2664,
1500.0,0.03,6.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2440.0,0.38745,238.2664,52.0
1500.0,0.03,1.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2463.0,843.9,241.74116,
1500.0,0.03,2.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2464.0,0.13746,241.74116,
1500.0,0.03,3.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2470.0,1091.25,241.74116,
