Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,4.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4203.0,681.24069,5766.03422,0.0,1.0,132.45389,-570.0
600.0,0.05,5.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4202.0,282.45389,5766.03422,0.0,1.0,132.45389,-570.0
600.0,0.05,6.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4202.0,0.0,5766.03422,0.0,1.0,132.45389,-570.0
600.0,0.05,1.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4203.0,445.3797,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,2.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4201.0,132.1797,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,3.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4202.0,679.6797,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,4.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4202.0,680.9665,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,5.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4202.0,282.1797,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,6.0,2.0,0.0,0.56809,0.63287,4576.18506,12766.47473,10564.99692,0.56809,4201.0,4203.0,0.0,5514.02955,0.0,1.0,132.1797,-570.0
600.0,0.05,1.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4201.0,445.21634,5625.20872,0.0,1.0,132.01634,-570.0
600.0,0.05,2.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4203.0,132.01634,5625.20872,0.0,1.0,132.01634,-570.0
