Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,5.0,3.0,0.0,0.47626,0.48555,4843.75961,9675.16009,5548.1874,0.47626,4201.0,4208.0,50.0,5067.29095,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.47732,0.48555,4843.75961,9694.84706,5510.04924,0.47732,4201.0,4209.0,0.0,5067.29095,0.0,1.0,146.42806,6.0
600.0,0.01,1.0,2.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4201.0,136.79054,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,2.0,3.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4210.0,0.0,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,3.0,2.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4203.0,133.25054,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,4.0,2.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4201.0,133.5079,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,5.0,3.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4208.0,50.0,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,6.0,3.0,0.0,0.49478,0.52507,4360.78314,9447.56995,5084.06276,0.49478,4201.0,4209.0,0.0,4773.12728,0.0,1.0,143.75054,6.0
600.0,0.01,1.0,2.0,0.0,0.47858,0.49705,4700.03482,9598.85209,4979.73129,0.47858,4201.0,4202.0,135.7015,5005.06428,0.0,1.0,142.6615,6.0
600.0,0.01,2.0,3.0,0.0,0.47858,0.49705,4700.03482,9598.85209,4979.73129,0.47858,4201.0,4208.0,0.0,5005.06428,0.0,1.0,142.6615,6.0
600.0,0.01,3.0,2.0,0.0,0.47858,0.49705,4700.03482,9598.85209,4979.73129,0.47858,4201.0,4202.0,132.1615,5005.06428,0.0,1.0,142.6615,6.0
600.0,0.01,4.0,2.0,0.0,0.47858,0.49705,4700.03482,9598.85209,4979.73129,0.47858,4201.0,4202.0,132.41886,5005.06428,0.0,1.0,142.6615,6.0
600.0,0.01,5.0,3.0,0.0,0.47804,0.49705,4700.03482,9589.03945,5490.51701,0.47804,4201.0,4209.0,50.0,5005.06428,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.47858,0.49705,4700.03482,9598.85209,4979.73129,0.47858,4201.0,4208.0,0.0,5005.06428,0.0,1.0,142.6615,6.0
600.0,0.01,1.0,2.0,0.0,0.49088,0.50713,4595.73078,9576.94522,5301.58046,0.49088,4201.0,4202.0,138.07099,4875.77078,0.0,1.0,145.03099,6.0
600.0,0.01,2.0,3.0,0.0,0.49088,0.50713,4595.73078,9576.94522,5301.58046,0.49088,4201.0,4209.0,0.0,4875.77078,0.0,1.0,145.03099,6.0
600.0,0.01,3.0,2.0,0.0,0.49088,0.50713,4595.73078,9576.94522,5301.58046,0.49088,4201.0,4202.0,134.53099,4875.77078,0.0,1.0,145.03099,6.0
600.0,0.01,4.0,2.0,0.0,0.49088,0.50713,4595.73078,9576.94522,5301.58046,0.49088,4201.0,4200.0,134.78835,4875.77078,0.0,1.0,145.03099,6.0
600.0,0.01,5.0,3.0,0.0,0.4904,0.50713,4595.73078,9567.93087,5475.76828,0.4904,4201.0,4208.0,50.0,4875.77078,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.49088,0.50713,4595.73078,9576.94522,5301.58046,0.49088,4201.0,4209.0,0.0,4875.77078,0.0,1.0,145.03099,6.0
600.0,0.01,1.0,2.0,0.0,0.49602,0.50962,4494.84296,9439.04013,5195.83365,0.49602,4201.0,4202.0,138.578,4757.11845,0.0,2.0,142.058,6.0
600.0,0.01,2.0,3.0,0.0,0.49577,0.50962,4494.84296,9434.34928,5206.09901,0.49577,4201.0,4208.0,0.0,4757.11845,0.0,1.0,145.538,6.0
600.0,0.01,3.0,2.0,0.0,0.49642,0.50962,4494.84296,9446.63386,5145.9278,0.49642,4201.0,4203.0,135.038,4757.11845,0.0,1.0,145.538,6.0
600.0,0.01,4.0,2.0,0.0,0.49642,0.50962,4494.84296,9446.63386,5145.9278,0.49642,4201.0,4202.0,135.29536,4757.11845,0.0,1.0,145.538,6.0
600.0,0.01,5.0,3.0,0.0,0.49543,0.50962,4494.84296,9428.12457,5134.08739,0.49543,4201.0,4208.0,50.0,4757.11845,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.49577,0.50962,4494.84296,9434.34928,5145.9278,0.49577,4201.0,4209.0,0.0,4757.11845,0.0,1.0,145.538,6.0
600.0,0.01,1.0,2.0,0.0,0.47585,0.51172,4514.66327,9503.34239,5115.01154,0.47585,4201.0,4202.0,138.61083,4981.18653,0.0,1.0,145.57083,6.0
600.0,0.01,2.0,3.0,0.0,0.47585,0.51172,4514.66327,9503.34239,5115.01154,0.47585,4201.0,4209.0,0.0,4981.18653,0.0,1.0,145.57083,6.0
600.0,0.01,3.0,2.0,0.0,0.47585,0.51172,4514.66327,9503.34239,5115.01154,0.47585,4201.0,4202.0,135.07083,4981.18653,0.0,1.0,145.57083,6.0
600.0,0.01,4.0,2.0,0.0,0.47585,0.51172,4514.66327,9503.34239,5115.01154,0.47585,4201.0,4202.0,135.32819,4981.18653,0.0,1.0,145.57083,6.0
600.0,0.01,5.0,3.0,0.0,0.47563,0.51172,4514.66327,9499.36098,5173.81992,0.47563,4201.0,4208.0,50.0,4981.18653,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.47585,0.51172,4514.66327,9503.34239,5115.01154,0.47585,4201.0,4208.0,0.0,4981.18653,0.0,1.0,145.57083,6.0
600.0,0.01,1.0,2.0,0.0,0.48548,0.49767,4603.47444,9418.15587,5327.4402,0.48548,4201.0,4202.0,140.77851,4845.79236,0.0,2.0,144.25851,6.0
600.0,0.01,2.0,3.0,0.0,0.48603,0.49767,4603.47444,9428.08295,5172.2945,0.48603,4201.0,4210.0,0.0,4845.79236,0.0,1.0,147.73851,6.0
600.0,0.01,3.0,2.0,0.0,0.48592,0.49767,4603.47444,9426.10321,5277.12447,0.48592,4201.0,4202.0,137.23851,4845.79236,0.0,2.0,141.73851,6.0
600.0,0.01,4.0,2.0,0.0,0.48592,0.49767,4603.47444,9426.10321,5277.12447,0.48592,4201.0,4202.0,137.49587,4845.79236,0.0,2.0,141.73851,6.0
600.0,0.01,5.0,3.0,0.0,0.48603,0.49767,4603.47444,9428.08295,5172.2945,0.48603,4201.0,4209.0,50.0,4845.79236,0.0,1.0,147.73851,6.0
600.0,0.01,6.0,3.0,0.0,0.48603,0.49767,4603.47444,9428.08295,5172.2945,0.48603,4201.0,4209.0,0.0,4845.79236,0.0,1.0,147.73851,6.0
600.0,0.01,1.0,2.0,0.0,0.48634,0.50168,4649.13232,9607.29809,5378.08096,0.48634,4201.0,4201.0,138.56482,4934.88595,0.0,2.0,142.04482,6.0
600.0,0.01,2.0,3.0,0.0,0.48563,0.50168,4649.13232,9594.04735,5114.25001,0.48563,4201.0,4209.0,0.0,4934.88595,0.0,1.0,145.52482,6.0
600.0,0.01,3.0,2.0,0.0,0.48637,0.50168,4649.13232,9607.79297,5114.25001,0.48637,4201.0,4202.0,135.02482,4934.88595,0.0,1.0,145.52482,6.0
600.0,0.01,4.0,2.0,0.0,0.48637,0.50168,4649.13232,9607.79297,5114.25001,0.48637,4201.0,4202.0,135.28217,4934.88595,0.0,1.0,145.52482,6.0
600.0,0.01,5.0,3.0,0.0,0.48602,0.50168,4649.13232,9601.27332,5228.86057,0.48602,4201.0,4208.0,50.0,4934.88595,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.48637,0.50168,4649.13232,9607.79297,5114.25001,0.48637,4201.0,4209.0,0.0,4934.88595,0.0,1.0,145.52482,6.0
600.0,0.01,1.0,2.0,0.0,0.48361,0.50372,4560.82557,9470.30209,5188.51289,0.48361,4201.0,4202.0,139.38052,4890.40336,0.0,1.0,146.34052,6.0
600.0,0.01,2.0,3.0,0.0,0.48361,0.50372,4560.82557,9470.30209,5188.51289,0.48361,4201.0,4209.0,0.0,4890.40336,0.0,1.0,146.34052,6.0
600.0,0.01,3.0,2.0,0.0,0.48357,0.50372,4560.82557,9469.59428,5356.35564,0.48357,4201.0,4202.0,135.84052,4890.40336,0.0,2.0,140.34052,6.0
600.0,0.01,4.0,2.0,0.0,0.48361,0.50372,4560.82557,9470.30209,5188.51289,0.48361,4201.0,4202.0,136.09788,4890.40336,0.0,1.0,146.34052,6.0
600.0,0.01,5.0,3.0,0.0,0.4836,0.50372,4560.82557,9470.09971,5111.83492,0.4836,4201.0,4209.0,50.0,4890.40336,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.48361,0.50372,4560.82557,9470.30209,5188.51289,0.48361,4201.0,4209.0,0.0,4890.40336,0.0,1.0,146.34052,6.0
600.0,0.01,1.0,2.0,0.0,0.47432,0.50379,4644.9681,9633.74767,5382.47478,0.47432,4201.0,4202.0,138.80601,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,2.0,3.0,0.0,0.47432,0.50379,4644.9681,9633.74767,5382.47478,0.47432,4201.0,4208.0,0.0,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,3.0,2.0,0.0,0.47393,0.50379,4644.9681,9626.61077,5382.47478,0.47393,4201.0,4204.0,135.26601,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,4.0,2.0,0.0,0.47393,0.50379,4644.9681,9626.61077,5382.47478,0.47393,4201.0,4202.0,135.52337,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,5.0,3.0,0.0,0.47432,0.50379,4644.9681,9633.74767,5382.47478,0.47432,4201.0,4208.0,50.0,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,6.0,3.0,0.0,0.47432,0.50379,4644.9681,9633.74767,5382.47478,0.47432,4201.0,4208.0,0.0,5064.2277,0.0,1.0,145.76601,6.0
600.0,0.01,1.0,2.0,0.0,0.47421,0.49171,4740.53041,9609.07952,5469.91166,0.47421,4201.0,4203.0,136.54131,5052.35086,0.0,2.0,140.02131,6.0
