 ,value
w971,0.008475
w972,0.008475
w973,0.008475
w974,0.008475
w975,0.008475
w976,0.008475
w977,0.008475
w978,0.008475
w979,0.008475
w980,0.008475
w981,0.008475
w982,0.008475
w983,0.008475
w984,0.008475
w985,0.008475
w986,0.008475
w987,0.008475
w988,0.008475
w989,0.008475
w990,0.008475
w991,0.008475
w992,0.008475
w993,0.008475
w994,0.008475
w995,0.008475
w996,0.008475
w997,0.008475
w998,0.008475
w999,0.008475
w1000,0.008475
w1001,0.008475
w1002,0.008475
w1003,0.008475
w1004,0.008475
w1005,0.008475
w1006,0.008475
w1007,0.008475
w1008,0.008475
w1009,0.008475
w1010,0.008475
w1011,0.008475
w1012,0.008475
w1013,0.008475
w1014,0.008475
w1015,0.008475
w1016,0.008475
w1017,0.008475
w1018,0.008475
w1019,0.008475
w1020,0.008475
w1021,0.008475
w1022,0.008475
w1023,0.008475
w1024,0.008475
w1025,0.008475
w1026,0.008475
w1027,0.008475
w1028,0.008475
w1029,0.008475
w1030,0.008475
w1031,0.007692
w1032,0.007692
w1033,0.007692
w1034,0.007692
w1035,0.007692
w1036,0.007692
w1037,0.007692
w1038,0.007692
w1039,0.007692
w1040,0.007692
w1041,0.007692
w1042,0.007692
w1043,0.007692
w1044,0.007692
w1045,0.007692
w1046,0.007692
w1047,0.007692
w1048,0.007692
w1049,0.007692
w1050,0.007692
w1051,0.007692
w1052,0.007692
w1053,0.007692
w1054,0.007692
w1055,0.007692
w1056,0.007692
w1057,0.007692
w1058,0.007692
w1059,0.007692
w1060,0.007692
w1061,0.007692
w1062,0.007692
w1063,0.007692
w1064,0.007692
w1065,0.007692
w1066,0.007692
w1067,0.007692
w1068,0.007692
w1069,0.007692
w1070,0.007692
w1071,0.007692
w1072,0.007692
w1073,0.007692
w1074,0.007692
w1075,0.007692
w1076,0.007692
w1077,0.007692
w1078,0.007692
w1079,0.007692
w1080,0.007692
w1081,0.007692
w1082,0.007692
w1083,0.007692
w1084,0.007692
w1085,0.007692
w1086,0.007692
w1087,0.007692
w1088,0.007692
w1089,0.007692
w1090,0.007692
w1091,0.007692
w1092,0.007692
w1093,0.007692
w1094,0.007692
w1095,0.007692
w1096,0.007692
w1097,0.007692
w1098,0.007692
w1099,0.007692
w1100,0.007692
w1101,0.007692
w1102,0.007692
w1103,0.007692
w1104,0.007692
w1105,0.007692
w1106,0.007692
w1107,0.007692
w1108,0.007692
w1109,0.007692
w1110,0.007692
w1111,0.007692
w1112,0.007692
w1113,0.007692
w1114,0.007692
w1115,0.007692
w1116,0.007692
w1117,0.007692
w1118,0.007692
w1119,0.007692
w1120,0.007692
w1121,0.007692
w1122,0.007692
w1123,0.007692
w1124,0.007692
w1125,0.007692
w1126,0.007692
w1127,0.007692
w1128,0.007692
w1129,0.007692
w1130,0.007692
w1131,0.007692
w1132,0.007692
w1133,0.007692
w1134,0.007692
w1135,0.007692
w1136,0.007692
w1137,0.007692
w1138,0.007692
w1139,0.007692
w1140,0.007692
w1141,0.007692
w1142,0.007692
w1143,0.007692
w1144,0.007692
w1145,0.007692
w1146,0.007692
w1147,0.007692
w1148,0.007692
w1149,0.007692
w1150,0.007692
w1151,0.007692
w1152,0.007692
w1153,0.007692
w1154,0.007692
w1155,0.007692
w1156,0.007692
w1157,0.007692
w1158,0.007692
w1159,0.007692
w1160,0.007692
w1161,0.006993
w1162,0.006993
w1163,0.006993
w1164,0.006993
w1165,0.006993
w1166,0.006993
w1167,0.006993
w1168,0.006993
w1169,0.006993
w1170,0.006993
w1171,0.006993
w1172,0.006993
w1173,0.006993
w1174,0.006993
w1175,0.006993
w1176,0.006993
w1177,0.006993
w1178,0.006993
w1179,0.006993
w1180,0.006993
w1181,0.006993
w1182,0.006993
w1183,0.006993
w1184,0.006993
w1185,0.006993
w1186,0.006993
w1187,0.006993
w1188,0.006993
w1189,0.006993
w1190,0.006993
w1191,0.006993
w1192,0.006993
w1193,0.006993
w1194,0.006993
w1195,0.006993
w1196,0.006993
w1197,0.006993
w1198,0.006993
w1199,0.006993
w1200,0.006993
w1201,0.006993
w1202,0.006993
w1203,0.006993
w1204,0.006993
w1205,0.006993
w1206,0.006993
w1207,0.006993
w1208,0.006993
w1209,0.006993
w1210,0.006993
w1211,0.006993
w1212,0.006993
w1213,0.006993
w1214,0.006993
w1215,0.006993
w1216,0.006993
w1217,0.006993
w1218,0.006993
w1219,0.006993
w1220,0.006993
w1221,0.006993
w1222,0.006993
w1223,0.006993
